"ID","zone","node","id_identification","longitude","latitude","interpreter","location","color"
"1","42","1","42.1","48.840981","2.586307","modele1","Bureau Remy","blue"
"2","42","2","42.2","48.838780","2.593984","modele1","Bureau Nadine","red"
"3","33","1","33.1","48.840499","2.584690","modele1","Bureau 3352","blue"
"4","33","2","33.2","48.839888","2.587816","modele1","Bureau Genevieve","red"
"5","43","1","43.1","48.838405","2.590338","modele1","Bureau 43XX","blue"
"6","43","2","43.2","48.839589","2.585166","modele1","Bureau 43XX","red"
"7","41","1","41.1","48.836028","2.584353","modele2","bureau 4104","green"
"8","53","1","53.1","48.839562","2.592361","modele2","bureau 5355","red"
"9","54","1","54.1","48.837715","2.589427","modele2","bureau 5455","red"
"10","23","1","23.1","48.834957","2.584614","modele2","bureau 2352 Sana","red"
"17","20","1","20.1","48.841954","2.591300","modele2","bureau 2052","red"
"18","22","1","22.1","48.838454","2.582871","modele2","bureau 2255","red"
"16","12","1","12.1","48.842413","2.588686","modele2","bureau 1255","red"
"15","21","1","21.1","48.841928","2.591153","modele2","bureau 2153","red"
"14","64","1","64.1","48.837544","2.590602","modele2","bureau 6456","red"
"13","40","1","40.1","48.835069","2.588091","modele2","bureau 4054","red"
"12","34","1","34.1","48.836198","2.593961","modele2","bureau 3455","red"
"11","11","1","11.1","48.837392","2.590792","modele2","bureau 1151","red"
"19","42","9","1C00001B","48.841107","2.583773","modeleUrad1","entree Esiee",
"20","2","1","ersco2-01","48.836452","2.593440","modeleErsco2","loc1",
"21","2","2","ersco2-02","48.840696","2.584725","modeleErsco2","loc2",
"22","2","3","ersco2-03","48.835001","2.586400","modeleErsco2","loc3",
"23","2","4","ersco2-04","48.841932","2.584986","modeleErsco2","loc4",
"24","42","9","1C000019","48.839708","2.583181","modeleUrad1","4209",
"25","42","9","1C00001A","48.839727","2.583397","modeleUrad1","4209",
"26","2","1","ersco2-05","48.837915","2.587311","modeleErsco2","tbd",
"27","2","1","ersco2-06","48.840195","2.583234","modeleErsco2","tbd",
"28","2","1","ersco2-07","48.836516","2.589157","modeleErsco2","tbd",
"29","2","1","ersco2-08","48.840884","2.590956","modeleErsco2","tbd",
"30","2","1","ersco2-09","48.841783","2.586397","modeleErsco2","tbd",
"31","2","1","ersco2-10","48.836722","2.582906","modeleErsco2","tbd",
"32","2","1","ersco2-11","48.838886","2.586527","modeleErsco2","tbd",
"33","2","1","ersco2-12","48.839422","2.589988","modeleErsco2","tbd",
"34","2","1","ersco2-13","48.837390","2.583973","modeleErsco2","tbd",
"35","2","1","ersco2-14","48.841477","2.592330","modeleErsco2","tbd",
"36","2","1","ersco2-15","48.837207","2.593205","modeleErsco2","tbd",
"37","2","1","ersco2-16","48.837488","2.590562","modeleErsco2","tbd",
"38","2","1","ersco2-17","48.837376","2.587467","modeleErsco2","tbd",
"39","2","1","ersco2-18","48.841665","2.589285","modeleErsco2","tbd",
"40","2","1","ersco2-19","48.838205","2.591145","modeleErsco2","tbd",
"41","2","1","ersco2-20","48.840175","2.592229","modeleErsco2","tbd",
"42","4","1","eui-70b3d58ff10261b6","48.840105","2.583863","modeleLw12co2","tbd",
"43","4","1","eui-70b3d58ff1026205","48.839754","2.584083","modeleLw12co2","tbd",
"44","4","1","eui-70b3d58ff1026cd2","48.839386","2.584164","modeleLw12co2","tbd",
"45","4","1","eui-70b3d58ff10261e3","48.838998","2.584482","modeleLw12co2","tbd",
"46","4","1","eui-70b3d58ff10261ee","48.838719","2.583543","modeleLw12co2","tbd",
"47","4","1","eui-70b3d58ff1026d0b","48.840877","2.583697","modeleLw12co2","tbd",
"48","4","1","eui-70b3d58ff10262c3","48.839249","2.583345","modeleLw12co2","tbd",
